system timestamp,,,,total pulse counted since start
Hr,Min,Sec,mSec,this sec,total,flow/s
21,50,00,.695,0.000000,0.000000,0.000000
21,50,01,.694,0.000000,0.000000,0.000000
21,50,02,.694,0.000000,0.000000,0.000000
21,50,03,.694,0.000000,0.000000,0.000000
21,50,04,.695,0.000000,0.000000,0.000000
21,50,05,.695,0.000000,0.000000,0.000000
21,50,06,.695,0.000000,0.000000,0.000000
21,50,07,.695,0.000000,0.000000,0.000000
21,50,08,.695,0.000000,0.000000,0.000000
21,50,09,.695,0.000000,0.000000,0.000000
21,50,10,.695,0.000000,0.000000,0.000000
21,50,11,.695,0.000000,0.000000,0.000000
21,50,12,.695,0.000000,0.000000,0.000000
21,50,13,.695,0.000000,0.000000,0.000000
21,50,14,.695,0.000000,0.000000,0.000000
21,50,15,.695,0.000000,0.000000,0.000000
21,50,16,.695,0.000000,0.000000,0.000000
21,50,17,.695,0.000000,0.000000,0.000000
21,50,18,.695,0.000000,0.000000,0.000000
21,50,19,.694,0.000000,0.000000,0.000000
21,50,20,.694,0.000000,0.000000,0.000000
21,50,21,.694,0.000000,0.000000,0.000000
21,50,22,.695,0.000000,0.000000,0.000000
21,50,23,.695,0.000000,0.000000,0.000000
21,50,24,.695,0.000000,0.000000,0.000000
21,50,25,.695,0.000000,0.000000,0.000000
21,50,26,.695,0.000000,0.000000,0.000000
21,50,27,.695,0.000000,0.000000,0.000000
21,50,28,.695,0.000000,0.000000,0.000000
21,50,29,.695,0.000000,0.000000,0.000000
21,50,30,.695,0.000000,0.000000,0.000000
21,50,31,.695,0.000000,0.000000,0.000000
21,50,32,.695,0.000000,0.000000,0.000000
21,50,33,.695,0.000000,0.000000,0.000000
21,50,34,.695,0.000000,0.000000,0.000000
21,50,35,.695,0.000000,0.000000,0.000000
21,50,36,.694,0.000000,0.000000,0.000000
21,50,37,.694,0.000000,0.000000,0.000000
21,50,38,.694,0.000000,0.000000,0.000000
21,50,39,.695,0.000000,0.000000,0.000000
21,50,40,.695,0.000000,0.000000,0.000000
21,50,41,.695,0.000000,0.000000,0.000000
21,50,42,.695,0.000000,0.000000,0.000000
21,50,43,.695,0.000000,0.000000,0.000000
21,50,44,.695,0.000000,0.000000,0.000000
21,50,45,.695,0.000000,0.000000,0.000000
21,50,46,.695,0.000000,0.000000,0.000000
21,50,47,.695,0.000000,0.000000,0.000000
21,50,48,.695,0.000000,0.000000,0.000000
21,50,49,.695,0.000000,0.000000,0.000000
21,50,50,.695,0.000000,0.000000,0.000000
21,50,51,.695,0.000000,0.000000,0.000000
21,50,52,.695,0.000000,0.000000,0.000000
21,50,53,.695,0.000000,0.000000,0.000000
21,50,54,.694,0.000000,0.000000,0.000000
21,50,55,.694,0.000000,0.000000,0.000000
21,50,56,.694,0.000000,0.000000,0.000000
21,50,57,.695,0.000000,0.000000,0.000000
21,50,58,.695,0.000000,0.000000,0.000000
21,50,59,.695,0.000000,0.000000,0.000000
21,51,00,.695,0.000000,0.000000,0.000000
21,51,01,.695,0.000000,0.000000,0.000000
21,51,02,.695,0.000000,0.000000,0.000000
21,51,03,.695,0.000000,0.000000,0.000000
21,51,04,.695,0.000000,0.000000,0.000000
21,51,05,.695,0.000000,0.000000,0.000000
21,51,06,.695,0.000000,0.000000,0.000000
21,51,07,.695,0.000000,0.000000,0.000000
21,51,08,.695,0.000000,0.000000,0.000000
21,51,09,.695,0.000000,0.000000,0.000000
21,51,10,.695,0.000000,0.000000,0.000000
21,51,11,.694,0.000000,0.000000,0.000000
21,51,12,.694,0.000000,0.000000,0.000000
21,51,13,.694,0.000000,0.000000,0.000000
21,51,14,.695,0.000000,0.000000,0.000000
21,51,15,.695,0.000000,0.000000,0.000000
21,51,16,.695,0.000000,0.000000,0.000000
21,51,17,.695,0.000000,0.000000,0.000000
21,51,18,.695,0.000000,0.000000,0.000000
21,51,19,.695,0.000000,0.000000,0.000000
21,51,20,.695,0.000000,0.000000,0.000000
21,51,21,.695,123.000000,123.000000,0.273333
21,51,22,.695,733.000000,856.000000,1.628889
21,51,23,.695,781.000000,1637.000000,1.735556
21,51,24,.695,673.000000,2310.000000,1.495556
21,51,25,.695,906.000000,3216.000000,2.013333
21,51,26,.695,787.000000,4003.000000,1.748889
21,51,27,.695,814.000000,4817.000000,1.808889
21,51,28,.695,796.000000,5613.000000,1.768889
21,51,29,.694,868.000000,6481.000000,1.928889
21,51,30,.694,819.000000,7300.000000,1.820000
21,51,31,.694,699.000000,7999.000000,1.553333
21,51,32,.695,781.000000,8780.000000,1.735556
21,51,33,.695,721.000000,9501.000000,1.602222
21,51,34,.695,795.000000,10296.000000,1.766667
21,51,35,.695,709.000000,11005.000000,1.575556
21,51,36,.695,741.000000,11746.000000,1.646667
21,51,37,.695,842.000000,12588.000000,1.871111
21,51,38,.695,651.000000,13239.000000,1.446667
21,51,39,.695,728.000000,13967.000000,1.617778
21,51,40,.695,735.000000,14702.000000,1.633333
21,51,41,.695,735.000000,15437.000000,1.633333
21,51,42,.695,721.000000,16158.000000,1.602222
21,51,43,.695,789.000000,16947.000000,1.753333
21,51,44,.695,814.000000,17761.000000,1.808889
21,51,45,.695,757.000000,18518.000000,1.682222
21,51,46,.694,741.000000,19259.000000,1.646667
21,51,47,.694,733.000000,19992.000000,1.628889
21,51,48,.694,730.000000,20722.000000,1.622222
21,51,49,.695,814.000000,21536.000000,1.808889
21,51,50,.695,738.000000,22274.000000,1.640000
21,51,51,.695,728.000000,23002.000000,1.617778
21,51,52,.695,726.000000,23728.000000,1.613333
21,51,53,.695,728.000000,24456.000000,1.617778
21,51,54,.695,778.000000,25234.000000,1.728889
21,51,55,.695,709.000000,25943.000000,1.575556
21,51,56,.695,746.000000,26689.000000,1.657778
21,51,57,.695,776.000000,27465.000000,1.724444
21,51,58,.695,804.000000,28269.000000,1.786667
21,51,59,.695,703.000000,28972.000000,1.562222
21,52,00,.695,775.000000,29747.000000,1.722222
21,52,01,.695,735.000000,30482.000000,1.633333
21,52,02,.695,822.000000,31304.000000,1.826667
21,52,03,.695,729.000000,32033.000000,1.620000
21,52,04,.694,779.000000,32812.000000,1.731111
21,52,05,.694,779.000000,33591.000000,1.731111
21,52,06,.694,803.000000,34394.000000,1.784444
21,52,07,.695,790.000000,35184.000000,1.755556
21,52,08,.695,729.000000,35913.000000,1.620000
21,52,09,.695,760.000000,36673.000000,1.688889
21,52,10,.695,772.000000,37445.000000,1.715556
21,52,11,.695,785.000000,38230.000000,1.744444
21,52,12,.695,767.000000,38997.000000,1.704444
21,52,13,.695,798.000000,39795.000000,1.773333
21,52,14,.695,726.000000,40521.000000,1.613333
21,52,15,.695,688.000000,41209.000000,1.528889
21,52,16,.695,742.000000,41951.000000,1.648889
21,52,17,.695,791.000000,42742.000000,1.757778
21,52,18,.695,730.000000,43472.000000,1.622222
21,52,19,.695,778.000000,44250.000000,1.728889
21,52,20,.695,772.000000,45022.000000,1.715556
21,52,21,.694,855.000000,45877.000000,1.900000
21,52,22,.694,811.000000,46688.000000,1.802222
21,52,23,.694,823.000000,47511.000000,1.828889
21,52,24,.695,782.000000,48293.000000,1.737778
21,52,25,.695,746.000000,49039.000000,1.657778
21,52,26,.695,742.000000,49781.000000,1.648889
21,52,27,.695,822.000000,50603.000000,1.826667
21,52,28,.695,755.000000,51358.000000,1.677778
21,52,29,.695,793.000000,52151.000000,1.762222
21,52,30,.695,800.000000,52951.000000,1.777778
21,52,31,.695,813.000000,53764.000000,1.806667
