system timestamp,,,,total pulse counted since start
Hr,Min,Sec,mSec,this sec,total,flow/s
21,50,00,.695,0.000000,0.000000,0.000000
21,50,01,.694,0.000000,0.000000,0.000000
21,50,02,.694,0.000000,0.000000,0.000000
21,50,03,.694,0.000000,0.000000,0.000000
21,50,04,.695,0.000000,0.000000,0.000000
21,50,05,.695,0.000000,0.000000,0.000000
21,50,06,.695,0.000000,0.000000,0.000000
21,50,07,.695,0.000000,0.000000,0.000000
21,50,08,.695,0.000000,0.000000,0.000000
21,50,09,.695,0.000000,0.000000,0.000000
21,50,10,.695,0.000000,0.000000,0.000000
21,50,11,.695,0.000000,0.000000,0.000000
21,50,12,.695,0.000000,0.000000,0.000000
21,50,13,.695,0.000000,0.000000,0.000000
21,50,14,.695,0.000000,0.000000,0.000000
21,50,15,.695,0.000000,0.000000,0.000000
21,50,16,.695,0.000000,0.000000,0.000000
21,50,17,.695,0.000000,0.000000,0.000000
21,50,18,.695,0.000000,0.000000,0.000000
21,50,19,.694,0.000000,0.000000,0.000000
21,50,20,.694,0.000000,0.000000,0.000000
21,50,21,.694,0.000000,0.000000,0.000000
21,50,22,.695,0.000000,0.000000,0.000000
21,50,23,.695,0.000000,0.000000,0.000000
21,50,24,.695,0.000000,0.000000,0.000000
21,50,25,.695,0.000000,0.000000,0.000000
21,50,26,.695,0.000000,0.000000,0.000000
21,50,27,.695,0.000000,0.000000,0.000000
21,50,28,.695,0.000000,0.000000,0.000000
21,50,29,.695,0.000000,0.000000,0.000000
21,50,30,.695,0.000000,0.000000,0.000000
21,50,31,.695,3.000000,3.000000,0.006667
21,50,32,.695,36.000000,39.000000,0.080000
21,50,33,.695,34.000000,73.000000,0.075556
21,50,34,.695,33.000000,106.000000,0.073333
21,50,35,.695,34.000000,140.000000,0.075556
21,50,36,.694,35.000000,175.000000,0.077778
21,50,37,.694,30.000000,205.000000,0.066667
21,50,38,.694,37.000000,242.000000,0.082222
21,50,39,.695,29.000000,271.000000,0.064444
21,50,40,.695,31.000000,302.000000,0.068889
21,50,41,.695,31.000000,333.000000,0.068889
21,50,42,.695,30.000000,363.000000,0.066667
21,50,43,.695,28.000000,391.000000,0.062222
21,50,44,.695,33.000000,424.000000,0.073333
21,50,45,.695,33.000000,457.000000,0.073333
21,50,46,.695,30.000000,487.000000,0.066667
21,50,47,.695,32.000000,519.000000,0.071111
21,50,48,.695,35.000000,554.000000,0.077778
21,50,49,.695,33.000000,587.000000,0.073333
21,50,50,.695,32.000000,619.000000,0.071111
21,50,51,.695,30.000000,649.000000,0.066667
21,50,52,.695,32.000000,681.000000,0.071111
21,50,53,.695,31.000000,712.000000,0.068889
21,50,54,.694,31.000000,743.000000,0.068889
21,50,55,.694,30.000000,773.000000,0.066667
21,50,56,.694,33.000000,806.000000,0.073333
21,50,57,.695,40.000000,846.000000,0.088889
21,50,58,.695,39.000000,885.000000,0.086667
21,50,59,.695,38.000000,923.000000,0.084444
21,51,00,.695,34.000000,957.000000,0.075556
21,51,01,.695,29.000000,986.000000,0.064444
21,51,02,.695,31.000000,1017.000000,0.068889
21,51,03,.695,31.000000,1048.000000,0.068889
21,51,04,.695,33.000000,1081.000000,0.073333
21,51,05,.695,34.000000,1115.000000,0.075556
21,51,06,.695,39.000000,1154.000000,0.086667
21,51,07,.695,30.000000,1184.000000,0.066667
21,51,08,.695,31.000000,1215.000000,0.068889
21,51,09,.695,36.000000,1251.000000,0.080000
21,51,10,.695,32.000000,1283.000000,0.071111
21,51,11,.694,33.000000,1316.000000,0.073333
21,51,12,.694,33.000000,1349.000000,0.073333
21,51,13,.694,36.000000,1385.000000,0.080000
21,51,14,.695,29.000000,1414.000000,0.064444
21,51,15,.695,39.000000,1453.000000,0.086667
21,51,16,.695,31.000000,1484.000000,0.068889
21,51,17,.695,34.000000,1518.000000,0.075556
21,51,18,.695,30.000000,1548.000000,0.066667
21,51,19,.695,30.000000,1578.000000,0.066667
21,51,20,.695,34.000000,1612.000000,0.075556
21,51,21,.695,37.000000,1649.000000,0.082222
21,51,22,.695,31.000000,1680.000000,0.068889
21,51,23,.695,30.000000,1710.000000,0.066667
21,51,24,.695,41.000000,1751.000000,0.091111
21,51,25,.695,38.000000,1789.000000,0.084444
21,51,26,.695,40.000000,1829.000000,0.088889
21,51,27,.695,36.000000,1865.000000,0.080000
21,51,28,.695,33.000000,1898.000000,0.073333
21,51,29,.694,33.000000,1931.000000,0.073333
21,51,30,.694,33.000000,1964.000000,0.073333
21,51,31,.694,35.000000,1999.000000,0.077778
21,51,32,.695,29.000000,2028.000000,0.064444
21,51,33,.695,32.000000,2060.000000,0.071111
21,51,34,.695,35.000000,2095.000000,0.077778
21,51,35,.695,34.000000,2129.000000,0.075556
21,51,36,.695,30.000000,2159.000000,0.066667
21,51,37,.695,31.000000,2190.000000,0.068889
21,51,38,.695,30.000000,2220.000000,0.066667
21,51,39,.695,30.000000,2250.000000,0.066667
21,51,40,.695,29.000000,2279.000000,0.064444
21,51,41,.695,29.000000,2308.000000,0.064444
21,51,42,.695,33.000000,2341.000000,0.073333
21,51,43,.695,27.000000,2368.000000,0.060000
21,51,44,.695,32.000000,2400.000000,0.071111
21,51,45,.695,39.000000,2439.000000,0.086667
21,51,46,.694,34.000000,2473.000000,0.075556
21,51,47,.694,30.000000,2503.000000,0.066667
21,51,48,.694,35.000000,2538.000000,0.077778
21,51,49,.695,32.000000,2570.000000,0.071111
21,51,50,.695,31.000000,2601.000000,0.068889
21,51,51,.695,28.000000,2629.000000,0.062222
21,51,52,.695,32.000000,2661.000000,0.071111
21,51,53,.695,31.000000,2692.000000,0.068889
21,51,54,.695,31.000000,2723.000000,0.068889
21,51,55,.695,30.000000,2753.000000,0.066667
21,51,56,.695,34.000000,2787.000000,0.075556
21,51,57,.695,30.000000,2817.000000,0.066667
21,51,58,.695,28.000000,2845.000000,0.062222
21,51,59,.695,29.000000,2874.000000,0.064444
21,52,00,.695,35.000000,2909.000000,0.077778
21,52,01,.695,26.000000,2935.000000,0.057778
21,52,02,.695,32.000000,2967.000000,0.071111
21,52,03,.695,30.000000,2997.000000,0.066667
21,52,04,.694,37.000000,3034.000000,0.082222
21,52,05,.694,32.000000,3066.000000,0.071111
21,52,06,.694,31.000000,3097.000000,0.068889
21,52,07,.695,31.000000,3128.000000,0.068889
21,52,08,.695,30.000000,3158.000000,0.066667
21,52,09,.695,33.000000,3191.000000,0.073333
21,52,10,.695,32.000000,3223.000000,0.071111
21,52,11,.695,33.000000,3256.000000,0.073333
21,52,12,.695,33.000000,3289.000000,0.073333
21,52,13,.695,35.000000,3324.000000,0.077778
21,52,14,.695,30.000000,3354.000000,0.066667
21,52,15,.695,28.000000,3382.000000,0.062222
21,52,16,.695,34.000000,3416.000000,0.075556
21,52,17,.695,34.000000,3450.000000,0.075556
21,52,18,.695,32.000000,3482.000000,0.071111
21,52,19,.695,40.000000,3522.000000,0.088889
21,52,20,.695,33.000000,3555.000000,0.073333
21,52,21,.694,33.000000,3588.000000,0.073333
21,52,22,.694,32.000000,3620.000000,0.071111
21,52,23,.694,27.000000,3647.000000,0.060000
21,52,24,.695,37.000000,3684.000000,0.082222
21,52,25,.695,29.000000,3713.000000,0.064444
21,52,26,.695,33.000000,3746.000000,0.073333
21,52,27,.695,32.000000,3778.000000,0.071111
21,52,28,.695,31.000000,3809.000000,0.068889
21,52,29,.695,27.000000,3836.000000,0.060000
21,52,30,.695,30.000000,3866.000000,0.066667
21,52,31,.695,27.000000,3893.000000,0.060000
