system timestamp,,,,total pulse counted since start
Hr,Min,Sec,mSec,this sec,total,flow/s
21,02,05,.184,0.000000,0.000000,0.000000
21,02,06,.184,1516.000000,1516.000000,3.368889
21,02,07,.184,1525.000000,3041.000000,3.388889
21,02,08,.184,1534.000000,4575.000000,3.408889
21,02,09,.184,1542.000000,6117.000000,3.426667
21,02,10,.184,1479.000000,7596.000000,3.286667
21,02,11,.184,1547.000000,9143.000000,3.437778
21,02,12,.184,1542.000000,10685.000000,3.426667
21,02,13,.184,1555.000000,12240.000000,3.455556
21,02,14,.183,1530.000000,13770.000000,3.400000
21,02,15,.183,1479.000000,15249.000000,3.286667
21,02,16,.183,1563.000000,16812.000000,3.473333
21,02,17,.184,1506.000000,18318.000000,3.346667
21,02,18,.184,1561.000000,19879.000000,3.468889
21,02,19,.184,1577.000000,21456.000000,3.504444
21,02,20,.184,1482.000000,22938.000000,3.293333
21,02,21,.184,1479.000000,24417.000000,3.286667
21,02,22,.184,1598.000000,26015.000000,3.551111
21,02,23,.184,1531.000000,27546.000000,3.402222
21,02,24,.184,1536.000000,29082.000000,3.413333
21,02,25,.184,1532.000000,30614.000000,3.404444
21,02,26,.184,1507.000000,32121.000000,3.348889
21,02,27,.184,1450.000000,33571.000000,3.222222
21,02,28,.184,1619.000000,35190.000000,3.597778
21,02,29,.184,1529.000000,36719.000000,3.397778
21,02,30,.184,1526.000000,38245.000000,3.391111
21,02,31,.184,1559.000000,39804.000000,3.464444
21,02,32,.183,1593.000000,41397.000000,3.540000
21,02,33,.183,1533.000000,42930.000000,3.406667
21,02,34,.183,1649.000000,44579.000000,3.664444
21,02,35,.184,1537.000000,46116.000000,3.415556
21,02,36,.184,1555.000000,47671.000000,3.455556
21,02,37,.184,1498.000000,49169.000000,3.328889
21,02,38,.184,1477.000000,50646.000000,3.282222
21,02,39,.184,1453.000000,52099.000000,3.228889
21,02,40,.184,1571.000000,53670.000000,3.491111
21,02,41,.184,1426.000000,55096.000000,3.168889
21,02,42,.184,1448.000000,56544.000000,3.217778
21,02,43,.184,1430.000000,57974.000000,3.177778
21,02,44,.184,1455.000000,59429.000000,3.233333
21,02,45,.184,1435.000000,60864.000000,3.188889
21,02,46,.184,1513.000000,62377.000000,3.362222
21,02,47,.184,1457.000000,63834.000000,3.237778
21,02,48,.184,1435.000000,65269.000000,3.188889
21,02,49,.183,1408.000000,66677.000000,3.128889
21,02,50,.183,1500.000000,68177.000000,3.333333
21,02,51,.183,1476.000000,69653.000000,3.280000
21,02,52,.184,1397.000000,71050.000000,3.104444
21,02,53,.184,1464.000000,72514.000000,3.253333
21,02,54,.184,1398.000000,73912.000000,3.106667
21,02,55,.184,1408.000000,75320.000000,3.128889
21,02,56,.184,1458.000000,76778.000000,3.240000
21,02,57,.184,1385.000000,78163.000000,3.077778
21,02,58,.184,1489.000000,79652.000000,3.308889
21,02,59,.184,1378.000000,81030.000000,3.062222
21,03,00,.184,1412.000000,82442.000000,3.137778
21,03,01,.184,1432.000000,83874.000000,3.182222
21,03,02,.184,1478.000000,85352.000000,3.284444
21,03,03,.184,1433.000000,86785.000000,3.184444
21,03,04,.184,1477.000000,88262.000000,3.282222
21,03,05,.184,1508.000000,89770.000000,3.351111
21,03,06,.184,1352.000000,91122.000000,3.004444
21,03,07,.183,1453.000000,92575.000000,3.228889
21,03,08,.183,1457.000000,94032.000000,3.237778
21,03,09,.183,1463.000000,95495.000000,3.251111
21,03,10,.184,1464.000000,96959.000000,3.253333
21,03,11,.184,1566.000000,98525.000000,3.480000
21,03,12,.184,1545.000000,100070.000000,3.433333
21,03,13,.184,1499.000000,101569.000000,3.331111
