system timestamp,,,,total pulse counted since start
Hr,Min,Sec,mSec,this sec,total,flow/s
12,44,00,.050,-94.000000,0.000000,-0.208889
12,44,01,.049,15.000000,15.000000,0.033333
12,44,02,.049,7.000000,22.000000,0.015556
12,44,03,.049,11.000000,33.000000,0.024444
12,44,04,.050,8.000000,41.000000,0.017778
12,44,05,.050,5.000000,46.000000,0.011111
12,44,06,.050,10.000000,56.000000,0.022222
12,44,07,.050,15.000000,71.000000,0.033333
12,44,08,.050,6.000000,77.000000,0.013333
12,44,09,.050,9.000000,86.000000,0.020000
12,44,10,.050,10.000000,96.000000,0.022222
12,44,11,.050,11.000000,107.000000,0.024444
12,44,12,.050,13.000000,120.000000,0.028889
12,44,13,.050,11.000000,131.000000,0.024444
12,44,14,.050,4.000000,135.000000,0.008889
12,44,15,.050,7.000000,142.000000,0.015556
12,44,16,.050,5.000000,147.000000,0.011111
12,44,17,.050,12.000000,159.000000,0.026667
12,44,18,.050,11.000000,170.000000,0.024444
12,44,19,.049,7.000000,177.000000,0.015556
12,44,20,.049,9.000000,186.000000,0.020000
12,44,21,.049,7.000000,193.000000,0.015556
12,44,22,.050,12.000000,205.000000,0.026667
12,44,23,.050,15.000000,220.000000,0.033333
12,44,24,.050,11.000000,231.000000,0.024444
12,44,25,.050,5.000000,236.000000,0.011111
12,44,26,.050,12.000000,248.000000,0.026667
12,44,27,.050,9.000000,257.000000,0.020000
12,44,28,.050,13.000000,270.000000,0.028889
12,44,29,.050,15.000000,285.000000,0.033333
12,44,30,.050,7.000000,292.000000,0.015556
12,44,31,.050,18.000000,310.000000,0.040000
12,44,32,.050,31.000000,341.000000,0.068889
12,44,33,.050,26.000000,367.000000,0.057778
12,44,34,.050,30.000000,397.000000,0.066667
12,44,35,.050,30.000000,427.000000,0.066667
12,44,36,.049,33.000000,460.000000,0.073333
12,44,37,.049,25.000000,485.000000,0.055556
12,44,38,.049,29.000000,514.000000,0.064444
12,44,39,.050,28.000000,542.000000,0.062222
12,44,40,.050,33.000000,575.000000,0.073333
12,44,41,.050,29.000000,604.000000,0.064444
12,44,42,.050,28.000000,632.000000,0.062222
12,44,43,.050,31.000000,663.000000,0.068889
12,44,44,.050,32.000000,695.000000,0.071111
12,44,45,.050,31.000000,726.000000,0.068889
12,44,46,.050,32.000000,758.000000,0.071111
12,44,47,.050,26.000000,784.000000,0.057778
12,44,48,.050,26.000000,810.000000,0.057778
12,44,49,.050,30.000000,840.000000,0.066667
